Name,Address
UNIVERSITY PRESBYTERIAN CHURCH,4540 15TH AVE NE
UNIVERSITY PREP ACADEMY,8000 25TH AVE NE
UNIVERSITY PREP - CONCESSION STAND,8000 25TH AVE NE
UNIVERSITY INN,4140 ROOSEVELT WAY NE
UNIVERSITY CLUB,1004 BOREN AVE
UNIVERSITY CHEVRON,4359 ROOSEVELT WAY NE
UNIV. CHRIST. UNION WOMEN,4554 16TH AVE NE
UNION STORE,8131 RAINIER AVE S
UNION STATION MARKET,509 S JACKSON ST
UNION SALOON,3645 WALLINGFORD AVE N
UNION N,8824 RENTON AVE S UNIT B
UNION MARKET,996 21ST AVE
UNION DELI,1325 4TH AVE
UNION COFFEE,2407 E UNION ST STE B
UNION CAFE @ AMAZON,501 FAIRVIEW AVE N
UNION,1009 E UNION ST STE C
UNIFIED BREWING CO.,9832 14TH AVE SW
UNICORN BAR & RESTAURANT,1118 E PIKE ST
UNEEDA BURGER,4302 FREMONT AVE N
UNDERGROUND AND CO,323 1ST AVE S
UNDERBELLY,119 1ST AVE S # LL2
UNCLE LEE'S KITCHEN,5408 SAND POINT WAY NE
UNCLE EDDIE'S,8601 14TH AVE S
UN BIEN,6226 SEAVIEW AVE NW
UMINORI,2106 E MADISON ST
UMI SAKE HOUSE,2230 1ST AVE
UMAMI KUSHI LLC,9099 SEWARD PARK AVE S
UMAI SUSHI & TERIYAKI,91 PIKE ST
ULI' S FAMOUS SAUSAGE,1511 PIKE PL
UGLY MUG CAFE,1309 NE 43RD ST
UBER,7517 AURORA AVE N
U:DON FRESH,4515 UNIVERSITY WAY NE
U: DON LLC,1640 12TH AVE
U DUPBOP,4124 UNIVERSITY WAY NE
TYTY MARKET,9417 16TH AVE SW
TYRANNO LLC DBA HAPPY LEMON,2245 8TH AVE R1 1A
TYLY GIFTS AND SNACK CORNER,1201 3RD AVE STE #380
TYGER TYGER,114 REPUBLICAN ST
TWO SCHOOLS,2100 S WALKER ST
TWO FINGERS WORTH LLC DBA SMITH,332 15TH AVE E
TWO DOORS DOWN,2332 E MADISON ST
TWITTER CAFE  ( FOR INTERNAL EMPLOYEE USE ONLY),1501 4TH AVE STE 1900
TWIST CATERING COMPANY,4634 E MARGINAL WAY E120
TWILIGHT ON RAINIER,5609 RAINIER AVE S
TWILIGHT EXIT,2514 E CHERRY ST
TWICE BURGER,701 5TH AVE 112B
TUTTA BELLA NEAPOLITAN PIZZERIA (KC489),4918 RAINIER AVE S
TUTTA BELLA NEAPOLITAN PIZZERIA,4918 RAINIER AVE S
TUTTA BELLA NEAPOLITAN PIZZARI,2200 WESTLAKE AVE
TURTLE COFFEE,9000 HOLMAN RD NW BLDG 1/D
TURKISH DELIGHT,1930 PIKE PL
TULUM,6808 E GREENLAKE WAY N
TULIO RESTAURANT,1100 5TH AVE
TUK TUK THAI KITCHEN,1625 W DRAVUS ST
TUK TUK MOBILE FEAST (KC562),10256 16TH AVE SW
TUBS GOURMET SUBS,11064 LAKE CITY WAY NE
TU TACO @ SEATTLE U,901 12TH AVE
TT MINI MART,5603 RAINIER AVE S
TSUKUSHINBO RESTAURANT,515 S MAIN ST
TSUI SUSHI BAR,6421 LATONA AVE NE
TSUE CHONG CO INC,508 8TH AVE S
TRUFFLE QUEEN,1524 PIKE PL
TRUCK STOP CAFE,1800 9TH AVE
TRU BISTRO,610 TERRY AVE
TROY BLOCK MARKET,307 FAIRVIEW AVE N
TROPICAL HUT,5723 RAINIER AVE S
TROPICAL BERRY,8507 35TH AVE NE
TROPHY CUPCAKES & PARTY,1815 N 45TH ST
TROPHY CUPCAKES,223 W GALER ST
TROPHY CUPCAKE,2612 NE VILLAGE LN
TRIPLE R BREWERY ALLEY TAVERN,916 B NE 64TH ST
TRIPLE DOOR,216 UNION ST
TRINITY MARKET & DELI,4301 ROOSEVELT WAY NE
TRIANGLE SPIRITS,3507 FREMONT PL N
TRIANGLE PUB,9454 DELRIDGE WAY SW
TREASURES  GIFT & SNACKS,800 5TH AVE
TRAVELODGE SEATTLE (NORTH OF DOWNTOWN),8512 AURORA AVE N
TRAILBEND TAPROOM,1118 NW 50TH ST STE 1
"TRADER JOE'S,  #130",1700 E MADISON ST
TRADER JOE'S #147,4609 14TH AVE NW
TRADER JOE'S #137,4555 ROOSEVELT WAY NE
TRADER JOE'S #135,1916 QUEEN ANNE AVE N
TRACTOR TAVERN,5213 BALLARD AVE NW
TOYODA SUSHI RESTAURANT,12543 LAKE CITY WAY NE
